ATA,ICAO,Airline,Call sign,Country/Region
GG,GGC,Cargo 360,LONG-HAUL,United States
GG,KYE,Sky Lease Cargo,SKY CUBE,United States
GH,GLP,Globus Airlines,GLOBUS,Russia
GH,GHA,Ghana Airways,GHANA,Ghana
GI,IKA,Itek Air,ITEK-AIR,Kyrgyzstan
GJ,MXC,Compania Mexicargo,MEXICARGO,Mexico
GJ,CDC,CDI Cargo Airlines,HUALONG,China
GJ,EEZ,Eurofly,E-FLY,Italy
GK,,Go One Airways,,United Kingdom
GK,JJP,JetStar Japan,ORANGE LINER,Japan
GL,GRL,Air Greenland,GREENLAND,Denmark
GL,GRL,Air Greenland,GREENLAND,Greenland
GL,BSK,Miami Air International,BISCAYNE,United States
GM,SVK,Air Slovakia,SLOVAKIA,Slovakia
GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon
GO,KZU,Kuzu Airlines Cargo,KUZU CARGO,Turkey
GP,RIV,APG Airlines,RIVERA,France
GP,PTP,Palau Trans Pacific Airlines,TRANS PACIFIC,Palau
GQ,BSY,Big Sky Airlines,BIG SKY,United States
GR,AUR,Aurigny Air Services,AYLINE,United Kingdom
GR,GCO,Gemini Air Cargo,GEMINI,United States
GS,UPA,Air Foyle,FOYLE,United Kingdom
GS,GCR,Tianjin Airlines,BO HAI,China
GT,GBL,GB Airways,GEEBEE AIRWAYS,United Kingdom
GV,ARF,Aero Flight,Aero Fox,Germany
GV,GUN,Grant Aviation,HOOT,United States
GW,KIL,Kuban Airlines,AIR KUBAN,Russia
GW,SGR,SkyGreece Airlines,SKYGREECE,Greece
GX,GBC,Guangxi Beibu Gulf Airlines,SPRAY,China
GX,JXX,JetX Airlines,JETBIRD,Iceland
GX,,Pacificair,,Philippines
GY,,Guyana Airways 2000,,
GY,TMG,Tri-MG Intra Asia Airlines,TRILINES,Indonesia
GZ,RAR,Air Rarotonga,AIR RAROTONGA,Cook Islands
H1,,Hahn Air Systems,,Germany
H2,SKU,Sky Airline,AEROSKY,Chile
H4,,Héli Sécurité Helicopter Airlines,,France
H4,IIN,Inter Island Airways,,Cape Verde
H5,HOA,Hola Airlines,HOLA,Spain
H5,MVL,Mavial Magadan Airlines,Mavial,Russia
H6,HAG,Hageland Aviation Services,HAGELAND,United States
H7,EGU,Eagle Air,AFRICAN EAGLE,Uganda
H8,KHB,Dalavia,DALAVIA,Russia
H9,HAD,Air d'Ayiti,HAITI AVIA,Haiti
H9,IZM,Izair,IZMIR,Turkey
HA,HAL,Hawaiian Airlines,HAWAIIAN,United States
HB,HAR,Harbor Airlines,HARBOR,United States
HC,ATI,Aero-Tropics Air Services,,Australia
HC,HCC,Holidays Czech Airlines,CZECH HOLIDAYS,Czech Republic
HC,,Iceland Express,,Iceland
HD,HLN,Air Holland,ORANGE,Netherlands
HD,ADO,AIRDO,AIR DO,Japan
HE,LGW,Luftfahrtgesellschaft Walter,WALTER,Germany
HF,HLF,Hapagfly,HAPAG LLOYD,Germany
HG,NLY,Niki,FLYNIKI,Austria
HH,,Hope Air,HOPE AIR,Canada
HJ,AXF,Asian Express Airlines,FREIGHTEXPRESS,Australia
HJ,HEJ,Hellas Jet,HELLAS JET,Greece
HK,FSC,Four Star Aviation / Four Star Cargo,FOUR STAR,United States
HM,SEY,Air Seychelles,SEYCHELLES,Seychelles
HN,HVY,Heavylift Cargo Airlines,HEAVY CARGO,Australia
HO,DJA,Antinea Airlines,ANTINEA,Algeria
HO,DKH,Juneyao Airlines,JUNEYAO AIRLINES,China
HP,AWE,America West Airlines,CACTUS,United States
HP,,Hawaiian Pacific Airlines,,United States
HP,HPA,Pearl Airways,PEARL AIRWAYS,Haiti
HP,,Phoenix Airways,,Switzerland
HQ,HMY,Harmony Airways,HARMONY,Canada
HQ,TCW,Thomas Cook Airlines,THOMAS COOK,Belgium
HR,HHN,Hahn Air,ROOSTER,Germany
HT,AHW,Aeromist-Kharkiv,AEROMIST,Ukraine
HU,CHH,Hainan Airlines,HAINAN,China
HV,TRA,Transavia Holland,TRANSAVIA,Netherlands
HW,FHE,Hello,FLYHELLO,Switzerland
HW,NWL,North-Wright Airways,NORTHWRIGHT,Canada
HX,CRK,Hong Kong Airlines,BAUHINIA,Hong Kong
HY,UZB,Uzbekistan Airways,UZBEK,Uzbekistan
HZ,SHU,Sakhalinskie Aviatrassy(SAT),SATAIR,Russia
HZ,SOZ,Sat Airlines,SATCO,Kazakhstan
I2,IBS,Iberia Express,IBEREXPRESS,Spain
I4,FWA,Interstate Airlines,FREEWAYAIR,Netherlands
I5,IAD,AirAsia India,ARIYA,India
I6,SEQ,Sky Eyes,SKY EYES,Thailand
I7,PMW,Paramount Airways,PARAWAY,India
I9,IBU,Indigo Airlines,INDIGO BLUE,United States
I9*,AEY,Air Italy,AIR ITALY,Italy
IA,IAW,Iraqi Airways,IRAQI,Iraq
IB,IBE,Iberia Airlines,IBERIA,Spain
IC,IAC,Indian Airlines,INDAIR,India
ID,BTK,Batik Air,BATIK,Indonesia
ID,ITK,Interlink Airlines,INTERLINK,South Africa
IE,SOL,Solomon Airlines,SOLOMON,Solomon Islands
IF,ISW,Islas Airways,PINTADERA,Spain
IG,ISS,Meridiana,MERIDIANA,Italy
IH,,Falcon Aviation,,Sweden
IH,MZA,Irtysh Air,IRTYSH AIRLINES,Kazakhstan
II,CSQ,IBC Airways,CHASQUI,United States
IJ,GWL,Great Wall Airlines,GREAT WALL,China
IJ,SJO,Spring Airlines Japan,JEY SPRING,Japan
IK,KAR,Ikar,IKAR,Russian Federation
IK,LKN,Lankair,Lankair,Sri Lanka
IM,MNJ,Menajet,MENAJET,Lebanon
IN,MAK,MAT Macedonian Airlines,MAKAVIO,Macedonia
IN,NIH,NAM Air,NAM,Indonesia
IO,IAA,Indonesian Airlines,INDO LINES,Indonesia
IP,JOL,Atyrau Air Ways,EDIL,Kazakhstan
IQ,AUB,Augsburg Airways,AUGSBURG-AIR,Germany
IR,IRA,Iran Air,IRANAIR,Iran
IT,KFR,Kingfisher Airlines,KINGFISHER,India
IT,TTW,Tigerair Taiwan,SMART CAT,Taiwan
IV,JET,Wind Jet,GHIBLI,Italy
IW,AOM,AOM French Airlines,French Lines,France
IW,WON,Wings Air,WINGS ABADI,Indonesia
IX,AXB,Air India Express,EXPRESS INDIA,India
IY,IYE,Yemenia,YEMENI,Yemen
IZ,AIZ,Arkia Israel Airlines,ARKIA,Israel
J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan
J3,PLR,Northwestern Air,POLARIS,Canada
J4,BFL,Buffalo Airways,BUFFALO,Canada
J4,JCI,Jordan International Air Cargo,,Jordan
J6,AOC,AVCOM,AERO AVCOM,Russia
J7,CVC,Centre-Avia,AVIACENTRE,Russia
J7,DNM,Denim Air,DENIM,Netherlands
J7,VJA,ValuJet Airlines,CRITTER,United States
J8,BVT,Berjaya Air,BERJAYA,Malaysia
J9,GIF,Guinee Airlines,GUINEE AIRLINES,Guinea
J9,JZR,Jazeera Airways,JAZEERA,Kuwait
JA,BON,B&H Airlines,Air Bosna,Bosnia and Herzegovina
JA,JAT,JetSMART,ROCKSMART,Chile
JB,JBA,Helijet,HELIJET,Canada
JC,JEX,JAL Express,JANEX,Japan
JD,CBJ,Beijing Capital Airlines,CAPITAL JET,China
JE,MNO,Mango,TULCA,South Africa
JF,JAA,Jet Asia Airways,JET ASIA,Thailand
JF,LAB,L.A.B. Flying Service,LAB,United States
JH,NES,Nordeste Linhas Aéreas Regionais,NORDESTE,Brazil
JI,JAE,Jade Cargo International,JADE CARGO,China
JI,MDW,Midway Airlines (1993–2003),MIDWAY,United States
JJ,AGX,Aviogenex,GENEX,Serbia
JJ,TAM,LATAM Brasil,TAM,Brazil
JK,JKK,Spanair,SPANAIR,Spain
JL,JAL,Japan Airlines,JAPANAIR,Japan
JL,JAL,Japan Airlines Domestic,J-BIRD,Japan
JM,AJM,Air Jamaica,JAMAICA,Jamaica
JM,JKT,Jetstar Hong Kong Airways,KAITAK,China
JN,XLA,Excel Airways,EXPO,United Kingdom
JO,JAZ,JALways,JALWAYS,Japan
JO,JTG,Jettime,JETTIME,Denmark
JP,ADR,Adria Airways,ADRIA,Slovenia
JQ,JST,Jetstar Airways,JETSTAR,Australia
JR,SER,Aero California,AEROCALIFORNIA,Mexico
JS,KOR,Air Koryo,AIR KORYO,Democratic People's Republic of Korea
JT,LNI,Lion Mentari Airlines,LION INTER,Indonesia
JU,ASL,Air Serbia,AIR SERBIA,Serbia
JV,BLS,Bearskin Lake Air Service,BEARSKIN,Canada
JW,APW,Arrow Air,BIG A,United States
JW,VNL,Vanilla Air,VANILLA,Japan
JX,JEC,Jett8 Airlines Cargo,TAIPAN,Singapore
JY,IWY,InterCaribbean Airways,ISLANDWAYS,Turks and Caicos Islands
JY,TCI,Air Turks and Caicos,KERRMONT,Turks and Caicos Islands
JZ,SKX,Avia Express,SKY EXPRESS,Sweden
JZ,SKX,Skyways Express,SKY EXPRESS,Sweden
K2,ELO,Eurolot,EUROLOT,Poland
K3,TQN,Taquan Air Services,TAQUAN,United States
K4,CKS,Kalitta Air,CONNIE,United States
K5,SQH,SeaPort Airlines,SASQUATCH,United States
K6,KHV,Angkor Air,AIR ANGKOR,Cambodia
K6,KHV,Cambodia Angkor Air,ANGKOR AIR,Cambodia
K6,KZW,Khalifa Airways,KHALIFA AIR,Algeria
K8,ZAK,Airlink Zambia,,Zambia
K9,KFS,Kalitta Charters,KALITTA,United States
K9,KRI,Krylo Airlines,Krylo,Russia
KA,HDA,Cathay Dragon,DRAGON,Hong Kong
KB,DRK,Druk Air,ROYAL BHUTAN,Bhutan
KC,KZR,Air Astana,ASTANALINE,Kazakhstan
KD,AEN,Air Enterprise,AIR ENTERPRISE,France
KD,KLS,Kalstar Aviation,KALSTAR,Indonesia
KD,KNI,KD Avia,KALININGRAD AIR,Russia
KE,KAL,Korean Air,KOREANAIR,South Korea
KF,BLF,Blue1,BLUEFIN,Finland
KG,BNX,LAI - Línea Aérea IAACA,AIR BARINAS,Venezuela
KH,AAH,Aloha Air Cargo,ALOHA,United States
KI,AAG,Air Atlantique,ATLANTIC,United Kingdom
KI,DHI,Adam Air,ADAM SKY,Indonesia
KJ,AAZ,Asian Air,,Kyrgyzstan
KJ,LAJ,British Mediterranean Airways,BEE MED,United Kingdom
KK,KKK,Atlasjet,ATLASJET,Turkey
KL,KLM,KLM,KLM,Netherlands
KM,AMC,Air Malta,AIR MALTA,Malta
KN,CUA,China United Airlines,LIANHANG,China
KO,AER,Alaska Central Express,ACE AIR,United States
KP,KIA,Kiwi International Air Lines,KIWI AIR,United States
KQ,KQA,Kenya Airways,KENYA,Kenya
KR,CWK,Comores Airlines,CONTICOM,Comoros
KS,PEN,Peninsula Airways,PENINSULA,United States
KU,KAC,Kuwait Airways,KUWAITI,Kuwait
KV,MVD,Kavminvodyavia,AIR MINVODY,Russia
KW,KHK,Kharkiv Airlines,SUNRAY,Ukraine
KW,WAN,Wataniya Airways,WATANIYA,Kuwait
KX,CAY,Cayman Airways,CAYMAN,Cayman Islands
KY,EQL,Air São Tomé and Príncipe,EQUATORIAL,São Tomé and Príncipe
KZ,NCA,Nippon Cargo Airlines,NIPPON CARGO,Japan
L1,,Lufthansa Systems,,Germany
L2,LYC,Lynden Air Cargo,LYNDEN,United States
L3,JOS,DHL de Guatemala,,Guatemala
L3,LTO,LTU Austria,BILLA TRANSPORT,Austria
L4,SSX,Lynx Aviation,SHASTA,United States
L5,,Línea Aérea Cuencana,,Ecuador
L5,LTR,Lufttransport,LUFT TRANSPORT,Norway
L6,VNZ,Tbilaviamsheni,TBILAVIA,Georgia
L7,LPN,Laoag International Airlines,LAOAG AIR,Philippines
L7,LNP,Línea Aérea SAPSA,SAPSA,Chile
L8,LXG,Air Luxor GB,LUXOR GOLF,Guinea-Bissau
L9,MLI,Air Mali,AIR MALI,Mali
L9,BAL,Belle Air Europe,BELLEAIR EUROPE,Italy
L9,BTZ,Bristow U.S. LLC,BRISTOW,United States
L9,TLW,Teamline Air,Teamline,Austria
LA,LAN,LATAM Chile,LAN CHILE,Chile
LB,LLB,Lloyd Aéreo Boliviano,LLOYDAEREO,Bolivia
LC,LOG,Loganair,LOGAN,United Kingdom
LC,VLO,Varig Logística,VELOG,Brazil
LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong
LF,NDC,FlyNordic,NORDIC,Sweden
LG,LGL,Luxair,LUXAIR,Luxembourg
LH,DLH,Lufthansa,LUFTHANSA,Germany
LH,GEC,Lufthansa Cargo,LUFTHANSA CARGO,Germany
LI,LIA,Leeward Islands Air Transport,LIAT,Antigua and Barbuda
LJ,SLA,Sierra National Airlines,SELAIR,Sierra Leone
LK,LXR,Air Luxor,AIRLUXOR,Portugal
LL,GRO,Allegro,ALLEGRO,Mexico
LM,LVG,Livingston Energy Flight,LIVINGSTON,Italy
LN,LAA,Libyan Arab Airlines,LIBAIR,Libya
LO,LOT,LOT Polish Airlines,POLLOT,Poland
LP,LPE,LATAM Peru,LANPERU,Peru
LQ,LAQ,Lebanese Air Transport,LAT,Lebanon
LR,LRC,LACSA,LACSA,Costa Rica
LS,EXS,Jet2.com,CHANNEX,United Kingdom
LT,LTU,LTU International,LTU,Germany
LT,SNG,LongJiang Airlines,SNOW EAGLE,China
LU,LXP,LATAM Express,LANEX,Chile
LV,LBC,Albanian Airlines,ALBANIAN,Albania
LV,LVL,Level,LEVEL,Spain and France
LW,NMI,Pacific Wings,TSUNAMI,United States
LW,FDY,Sun Air International,FRIENDLY,United States
LX,SWR,Swiss International Air Lines,SWISS,Switzerland
LY,ELY,El Al Israel Airlines,ELAL,Israel
LZ,,Balkan Bulgarian Airlines,,Bulgaria
LZ[30],SWU,Swiss Global Air Lines,EUROSWISS,Switzerland
M2,MZS,Mahfooz Aviation,MAHFOOZ,Gambia
M2,MHV,MHS Aviation GmbH,SNOWCAP,Germany
M3,TUS,ABSA Cargo,Turismo,Brazil
M3,SPJ,Air Service,AIR SKOPJE,Macedonia
M3,NFA,North Flying,NORTH FLYING,Denmark
M4,MSA,Mistral Air,AIRMERCI,Italy
M5,KEN,Kenmore Air,KENMORE,United States
M6,AJT,Amerijet International,AMERIJET,United States
M7,MAA,MasAir,MAS CARGA,Mexico
M7,MSL,Marsland Aviation,MARSLANDAIR,Sudan
M7,TBG,Tropical Airways,,Haiti
M8,MKN,Mekong Airlines,MEKONG AIRLINES,Cambodia
M9,MSI,Motor Sich,MOTOR SICH,Ukraine
MA,MAH,Malév Hungarian Airlines,MALEV,Hungary
MB,EXA,Execair Aviation,CANADIAN EXECAIRE,Canada
MB,MNB,MNG Airlines,BLACK SEA,Turkey
MC,RCH,Air Mobility Command,REACH,United States
MD,MDG,Air Madagascar,AIR MADAGASCAR,Madagascar
ME,MEA,Middle East Airlines,CEDAR JET,Lebanon
MF,CXA,Xiamen Airlines,XIAMEN AIR,China
MG,CCP,Champion Air,CHAMPION AIR,United States
MH,MWG,MASwings,MASWINGS,Malaysia
MH,MAS,Malaysia Airlines,MALAYSIAN,Malaysia
MI,SLK,SilkAir,SILKAIR,Singapore
MJ,LPR,Líneas Aéreas Privadas Argentinas,LAPA,Argentina
MJ,MLR,Mihin Lanka,MIHIN LANKA,Sri Lanka
MK,MAU,Air Mauritius,AIRMAURITIUS,Mauritius
ML,BIE,Air Mediterranee,MEDITERRANEE,France
ML,ETC,African Transport Trading and Investment Company,TRANATTICO,Sudan
ML,MDW,Midway Airlines (1976–1991),MIDWAY,United States
MM,MMZ,EuroAtlantic Airways,EUROATLANTIC,Portugal
MM,SAM,SAM Colombia,SAM,Colombia
MN,CAW,Comair,COMMERCIAL,South Africa
MO,AUH,Abu Dhabi Amiri Flight,SULTAN,United Arab Emirates
MO,CAV,Calm Air,CALM AIR,Canada
MP,MPH,Martinair,MARTINAIR,Netherlands
MQ,EGF,American Eagle Airlines,EAGLE FLIGHT,United States
MQ,ENY,Envoy Air,ENVOY,United States
MR,MRT,Air Mauritanie,MIKE ROMEO,Mauritania
MS,MSR,Egyptair,EGYPTAIR,Egypt
MT,JMC,JMC Airlines,JAYEMMSEE,United Kingdom
MT,TCX,Thomas Cook Airlines,KESTREL,United Kingdom
MU,CES,China Eastern Airlines,CHINA EASTERN,China
MV,RML,Armenian International Airways,ARMENIA,Armenia
MW,MYD,Maya Island Air,MYLAND,Belize
MW,MUL,Mokulele Airlines,MUKULELE,United States
MX,MXA,Mexicana de Aviación,MEXICANA,Mexico
MY,MXJ,Maxjet Airways,MAX-JET,United States
MY,MWA,Midwest Airlines (Egypt),,Egypt
MZ,MNA,Merpati Nusantara Airlines,MERPATI,Indonesia
N2,DAG,Dagestan Airlines,DAGAL,Russia
N2,QNK,Kabo Air,KABO,Nigeria
N4,MTC,Mountain Air Company,MOUNTAIN LEONE,Sierra Leone
N4,NCN,National Airlines,,Chile
N4,NWS,Nordwind Airlines,NORDLAND,Russia
N5,KGZ,Kyrgyz Airlines,BERMET,Kyrgyzstan
N5,FEY,Fly Easy,FLYEASY,India
N5,,Norfolk Air,,Norfolk Island
N5,SGY,Skagway Air Service,SKAGWAY AIR,United States
N6,JEV,Lagun Air,,Spain
N6,ACQ,Nuevo Continente,AERO CONTINENTE,Peru
N7,ROK,National Airlines,RED ROCK,United States
N8,HGK,Fika Salaama Airlines,SALAAMA,Uganda
N8,NCR,National Air Cargo dba National Airlines,NATIONAL CARGO,United States
N9,,North Coast Aviation,,Papua New Guinea
NA,NAL,National Airlines,NATIONAL,United States
NA,NAO,North American Airlines,NORTH AMERICAN,United States
NB,SNB,Sterling Airlines,STERLING,Denmark
NC,NJS,National Jet Systems,NATIONAL JET,Australia
NC,NAC,Northern Air Cargo,YUKON,United States
NE,ESK,SkyEurope,RELAX,Slovakia
NF,AVN,Air Vanuatu,AIR VAN,Vanuatu
NG,LDA,Lauda Air,LAUDA AIR,Austria
NH,ANA,All Nippon Airways,ALL NIPPON,Japan
NI,,LANICA,,Nicaragua
NI,PGA,Portugalia,PORTUGALIA,Portugal
NK,NKS,Spirit Airlines,SPIRIT WINGS,United States
NK,NKS,Spirit Airlines,SPIRIT WINGS,United States
NL,SAI,Shaheen Air International,SHAHEEN AIR,Pakistan
NM,DRD,Air Madrid,ALADA AIR,Spain
NM,NZM,Mount Cook Airlines,MOUNTCOOK,New Zealand
NN,MOV,VIM Airlines,MOV AIR,Russia
NO,AUS,Aus-Air,,Australia
NO,NOS,Neos,MOONFLOWER,Italy
NQ,AJX,Air Japan,AIR JAPAN,Japan
NR,PIR,Pamir Airways,PAMIR,Afghanistan
NT,IBB,Binter Canarias,BINTER,Spain
NU,JTA,Japan Transocean Air,JAI OCEAN,Japan
NV,CRF,Air Central,AIR CENTRAL,Japan
NW,NWA,Northwest Airlines,NORTHWEST,United States
NX,AMU,Air Macau,AIR MACAO,Macao
NY,FXI,Air Iceland,FAXI,Iceland
NZ,ANZ,Air New Zealand,NEW ZEALAND,New Zealand
NZ,EAG,Eagle Airways,EAGLE,New Zealand
O2,JEA,OLT Express,JETA,Poland
O2,,Linear Air,HARPOON,United States
O3,CSS,SF Airlines,SHUN FENG,China
O4,ABV,Antrak Air,ANTRAK,Ghana
O6,ONE,Avianca Brazil,OCEAN AIR,Brazil
O6,ONE,Avianca Brazil,OCEANAIR,Brazil
O7,OZJ,Ozjet Airlines,AUSJET,Australia
O8,OHK,Oasis Hong Kong Airlines,OASIS,Hong Kong
O9,NOV,Nova Airline,NOVANILE,Sudan
OA,OAL,Olympic Air,OLYMPIC,Greece
OA,OAL,Olympic Airlines,OLYMPIC,Greece
OB,ASZ,Astrakhan Airlines,AIR ASTRAKHAN,Russia
OB,AAT,Austrian Airtransport,AUSTRIAN CHARTER,Austria
OB,BOV,Boliviana de Aviación,BOLIVIANA,Bolivia
OB,AAN,Oasis International Airlines Now assigned to Boliviana de Aviacion (BoA),OASIS,Spain
OD,MXD,Malindo Airways,MALINDO EXPRESS,Malaysia
OE,AOT,Asia Overnight Express,ASIA OVERNIGHT,Philippines
OE,LDM,Laudamotion,LAUDA MOTION,Austria
OE[20],LDM,LaudaMotion,LAUDA MOTION,Austria
OF,FIF,Air Finland,AIR FINLAND,Finland
OF,ENT,Enter Air,ENTER,Poland
OF,TML,Transports et Travaux Aériens de Madagascar,TAM AIRLINE,Madagascar
OH,COM,Comair,COMAIR,United States
OH,JIA,PSA Airlines,BLUE STREAK,United States
OJ,FJM,Fly Jamaica Airways,GREENHEART,Jamaica
OJ,OLA,Overland Airways,OVERLAND,Nigeria
OK,CSA,Czech Airlines,CSA,Czech Republic
OL,OLT,OLT Express Germany,OLTRA,Germany
OL,SZB,Samoa Air,SAMOA,Samoa
OM,MGL,MIAT Mongolian Airlines,MONGOL AIR,Mongolia
ON,RON,Our Airline,OUR AIRLINE,Nauru
OO,SKW,SkyWest Airlines,SKYWEST,United States
OP,CHK,Chalk's International Airlines,CHALKS,United States
OR,TFL,Arkefly,ARKEFLY,Netherlands
OR,TFL,TUI Airlines Netherlands,ORANGE,Netherlands
OS,AUA,Austrian Airlines,AUSTRIAN,Austria
OT,PEL,Aeropelican Air Services,PELICAN,Australia
OU,CTN,Croatia Airlines,CROATIA,Croatia
OV,ELL,Estonian Air,ESTONIAN,Estonia
OV,OMS,SalamAir,MAZOON,Oman
OW,EXK,Executive Airlines,EXECUTIVE EAGLE,United States
OX,OEA,Orient Thai Airlines,ORIENT THAI,Thailand
OY,ANS,Andes Líneas Aéreas,AEROANDES,Argentina
OY,OAE,Omni Air International,OMNI-EXPRESS,United States
OZ,AAR,Asiana Airlines,ASIANA,Republic of Korea
OZ,OZR,Ozark Air Lines,OZARK,United States
P0,PFZ,Proflight Zambia,PROFLIGHT-ZAMBIA,Zambia
P3,PTB,Passaredo Transportes Aéreos,PASSAREDO,Brazil
P5,RPB,AeroRepública,AEROREPUBLICA,Colombia
P6,PVG,Privilege Style Líneas Aéreas,PRIVILEGE,Spain
P7,REP,Regional Paraguaya,REGIOPAR,Paraguay
P7,ESL,Russian Sky Airlines,RADUGA,Russia
P8,MKG,Air Mekong,MEKONG,Vietnam
P8,PTN,Pantanal Linhas Aéreas,PANTANAL,Brazil
P9,,Nas Air,,Mali
P9,PGP,Perm Airlines,PERM AIR,Russia
P9,PVN,Peruvian Airlines,,Peru
PA,FCL,Florida Coastal Airlines,FLORIDA COASTAL,United States
PA,PAA,Pan American Airways,,United States
PA,PAA,Pan American World Airways,CLIPPER,United States
PC,FAJ,Air Fiji,FIJIAIR,Fiji
PC,PVV,Continental Airways,CONTAIR,Russia
PC,PGT,Pegasus Airlines,SUNTURK,Turkey
PD,POE,Porter Airlines,PORTER,Canada
PE,AEL,Air Europe Italy,AIR EUROPE,Italy
PE,PEV,People's Viennaline,PEOPLES,Switzerland
PF,PNW,Palestinian Airlines,PALESTINIAN,Egypt
PG,BKP,Bangkok Airways,BANGKOK AIR,Thailand
PH,PAO,Polynesian Airlines,POLYNESIAN,Samoa
PI,PDT,Piedmont Airlines (1948-1989),PIEDMONT,United States
PI,SGU,Sol del Paraguay,SOLPARAGUAYO,Paraguay
PI,SUF,Sun Air (Fiji),SUNFLOWER,Fiji
PJ,SPM,Air Saint Pierre,SAINT-PIERRE,France
PK,PIA,Pakistan International Airlines,PAKISTAN,Pakistan
PL,PLI,Aeroperú,Aeroperu,Peru
PL,ASE,Airstars,MOROZOV,Russia
PM,TOS,Tropic Air,TROPISER,Belize
PN,,Pan American Airways,,United States
PO,PAC,Polar Air Cargo,POLAR,United States
PP,PJS,Jet Aviation,JETAVIATION,Switzerland
PR,PAL,Philippine Airlines,PHILIPPINE,Philippines
PS,AUI,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine
PT,CCI,Capital Cargo International Airlines,CAPPY,United States
PT,SWN,West Air Sweden,AIR SWEDEN,Sweden
PU,PUA,PLUNA,PLUNA,Uruguay
PV,PNR,PAN Air,SKYJET,Spain
PV,SBU,St Barth Commuter,BLACK FIN,France
PW,PRF,Precision Air,PRECISION AIR,Tanzania
PX,ANG,Air Niugini,NIUGINI,Papua New Guinea
PY,SLM,Surinam Airways,SURINAM,Suriname
PZ,LAP,LATAM Paraguay,PARAGUAYA,Paraguay
PZ,LAP,TAM Mercosur,PARAGUAYA,Paraguay
Q2,DQA,Maldivian (airline),SKYSURFER,Maldives
Q3,MBN,Zambian Airways,ZAMBIANA,Zambia
Q4,,Mastertop Linhas Aéreas,,Brazil
Q4,SWX,Swazi Express Airways,SWAZI EXPRESS,Swaziland
Q4,TLK,Starlink Aviation,STARLINK,Canada
Q5,MLA,40-Mile Air,MILE-AIR,United States
Q6,CDP,Aero Condor Peru,CONDOR-PERU,Peru
Q7,SBM,SkyBahamas,SKY BAHAMAS,Bahamas
Q8,PEC,Pacific East Asia Cargo Airlines,PAC-EAST CARGO,Philippines
Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia
QB,AAJ,Air Alma,AIR ALMA,Canada
QB,GFG,Georgian National Airlines,NATIONAL,Georgia
QC,CRD,Air Corridor,AIR CORRIDOR,Mozambique
QD,QCL,Air Class Líneas Aéreas,ACLA,Uruguay
QE,ECC,Crossair Europe,Cigogne,Switzerland
QF,EAQ,Eastern Australia Airlines,EASTERN,Australia
QF,QFA,Qantas,QANTAS,Australia
QF,QLK,Qantaslink,QLINK,Australia
QF,QJE,Qantaslink,QJET,Australia
QF,SSQ,Sunstate Airlines,SUNSTATE,Australia
QH,LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
QH,FLZ,Aero Leasing,AIR FLORIDA,United States
QH,FLA,Air Florida,PALM,United States
QH,LYN,Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
QI,CIM,Cimber Sterling,CIMBER,Denmark
QJ,,Jet Airways,,United States
QK,JZA,Air Canada Jazz,JAZZ,Canada
QL,RLN,Aero Lanka,AERO LANKA,Sri Lanka
QL,RLN,Lankan Cargo,AERO LANKA,Sri Lanka
QL,LER,Línea Aérea de Servicio Ejecutivo Regional,LASER,Venezuela
QM,AML,Air Malawi,MALAWI,Malawi
QN,ARR,Air Armenia,AIR ARMENIA,Armenia
QO,MPX,Aeromexpress,AEROMEXPRESS,Mexico
QO,OGN,Origin Pacific Airways,ORIGIN,New Zealand
QQ,UTY,Alliance Airlines,UNITY,Australia
QQ,ROA,Reno Air,RENO AIR,United States
QR,QTR,Qatar Airways,QATARI,Qatar
QS,QSC,African Safari Airways,ZEBRA,Kenya
QS,TVS,Travel Service,SKYTRAVEL,Czech Republic
QT,TPA,TAMPA,TAMPA,Colombia
QU,UTN,UTair-Ukraine,UT Ukraine,Ukraine
QU,UGA,Uganda Airlines,UGANDA,Uganda
QV,LAO,Lao Airlines,LAO,Lao People's Democratic Republic
QW,BWG,Blue Wings,BLUE WINGS,Germany
QX,QXE,Horizon Air,HORIZON AIR,United States
QY,BCS,European Air Transport,EUROTRANS,Belgium
QZ,AWQ,Indonesia AirAsia,WAGON AIR,Indonesia
R0,RPK,Royal Airlines,ROYAL PAKISTAN,Pakistan
R1,,Sirin,,
R2,ORB,Orenburg Airlines,ORENBURG,Russia
R3,RME,Armenian Airlines,ARMENIAN,Armenia
R3,SYL,Aircompany Yakutia,AIR YAKUTIA,Russia
R3,SYL,Yakutia Airlines,AIR YAKUTIA,Russia
R5,JAV,Jordan Aviation,JORDAN AVIATION,Jordan
R5,MAC,Malta Air Charter,MALTA CHARTER,Malta
R6,,RACSA,,Guatemala
R7,OCA,Aserca Airlines,AROSCA,Venezuela
R8,KGA,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan
R9,CAM,Camai Air,AIR CAMAI,United States
RA,RNA,Nepal Airlines,ROYAL NEPAL,Nepal
RB,SBK,Air Srpska,Air Srpska,Bosnia and Herzegovina
